Route,Year,Month,Revenue_Passengers,Aircraft_Trips,Rev Pax,Distance,RPKs,ASKs,Seats,
ADL-CBR,2016,8,"14,992",157,62.6,972,"14,572,224","23,296,896","23,968",
ADL-CBR,2016,9,"15,933",151,70.7,972,"15,486,876","21,893,328","22,524",
ADL-CBR,2016,10,"15,416",150,68.2,972,"14,984,352","21,959,424","22,592",
ADL-CBR,2016,11,"17,117",152,72,972,"16,637,724","23,113,188","23,779",
ADL-CBR,2016,12,"14,757",142,66.7,972,"14,343,804","21,512,304","22,132",
ADL-CBR,2017,1,"11,594",124,62.8,972,"11,269,368","17,931,456","18,448",
ADL-CBR,2017,2,"13,293",142,60.5,972,"12,920,796","21,341,232","21,956",
ADL-CBR,2017,3,"16,457",157,65.5,972,"15,996,204","24,431,220","25,135",
ADL-CBR,2017,4,"14,537",128,68.7,972,"14,129,964","20,571,408","21,164",
ADL-CBR,2017,5,"13,819",136,59.9,972,"13,432,068","22,441,536","23,088",
ADL-CBR,2017,6,"14,131",134,62.8,972,"13,735,332","21,860,280","22,490",
ADL-CBR,2017,7,"15,135",150,60.1,972,"14,711,220","24,496,344","25,202",
ADL-CBR,2017,8,"15,562",156,58.6,972,"15,126,264","25,824,096","26,568",
ADL-CBR,2017,9,"16,283",145,65.9,972,"15,827,076","24,015,204","24,707",
ADL-CBR,2017,10,"17,365",156,65.8,972,"16,878,780","25,654,968","26,394",
ADL-CBR,2017,11,"18,040",153,69.7,972,"17,534,880","25,149,528","25,874",
ADL-CBR,2017,12,"15,360",134,68.1,972,"14,929,920","21,926,376","22,558",
ADL-CBR,2018,1,"12,333",122,60.3,972,"11,987,676","19,872,540","20,445",
ADL-CBR,2018,2,"14,467",140,60.9,972,"14,061,924","23,100,552","23,766",
ADL-CBR,2018,3,"17,575",150,69.4,972,"17,082,900","24,616,872","25,326",
ADL-CBR,2018,4,"16,137",132,72.5,972,"15,685,164","21,627,972","22,251",
ADL-CBR,2018,5,"16,737",144,69,972,"16,268,364","23,563,224","24,242",
ADL-CBR,2018,6,"15,209",132,68.4,972,"14,783,148","21,627,972","22,251",
ADL-CBR,2018,7,"16,160",140,68.4,972,"15,707,520","22,976,136","23,638",
ADL-CBR,2018,8,"17,654",160,65,972,"17,159,688","26,383,968","27,144",
ADL-CBR,2018,9,"17,909",153,71.5,972,"17,407,548","24,333,048","25,034",
ADL-CBR,2018,10,"18,437",160,68.8,972,"17,920,764","26,043,768","26,794",
ADL-CBR,2018,11,"17,605",142,74.5,972,"17,112,060","22,979,052","23,641",
ADL-CBR,2018,12,"14,962",134,68.4,972,"14,543,064","21,276,108","21,889",
ADL-CBR,2019,1,"11,865",122,58.6,972,"11,532,780","19,669,392","20,236",
ADL-CBR,2019,2,"14,263",136,62.8,972,"13,863,636","22,060,512","22,696",
ADL-CBR,2019,3,"17,846",150,72.1,972,"17,346,312","24,056,028","24,749",
ADL-CBR,2019,4,"16,894",150,66.8,972,"16,420,968","24,600,348","25,309",
ADL-CBR,2019,5,"16,512",162,60.8,972,"16,049,664","26,382,024","27,142",
ADL-CBR,2019,6,"14,929",141,64.4,972,"14,510,988","22,546,512","23,196",
ADL-CBR,2019,7,"16,083",154,62.4,972,"15,632,676","25,036,776","25,758",
ADL-CBR,2019,8,"16,875",159,64,972,"16,402,500","25,635,528","26,374",
ADL-CBR,2019,9,"17,117",153,66.9,972,"16,637,724","24,861,816","25,578",
ADL-CBR,2019,10,"18,788",160,70.1,972,"18,261,936","26,043,768","26,794",
ADL-CBR,2019,11,"17,851",143,75.5,972,"17,351,172","22,980,024","23,642",
ADL-CBR,2019,12,"16,420",136,72.7,972,"15,960,240","21,939,984","22,572",
ADL-CBR,2020,1,"12,283",120,61.8,972,"11,939,076","19,331,136","19,888",
