Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures 
(%)","OnTime Arrivals 
(%)","Cancellations 

(%)",,,,,,
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Rex Airlines,2024-25,994,978,16,723,760,255,218,73.9,77.7,1.6,,,,,,
Sydney-Dubbo,Sydney,Dubbo,All Airlines,2024-25,2608,2536,72,1828,1917,708,619,72.1,75.6,2.8,,,,,,
Sydney-Dubbo,Sydney,Dubbo,QantasLink,2024-25,1264,1225,39,949,986,276,239,77.5,80.5,3.1,,,,,,
Sydney-Dubbo,Sydney,Dubbo,Rex Airlines,2024-25,1344,1311,33,879,931,432,380,67.0,71.0,2.5,,,,,,
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,2024-25,7958,7797,161,6126,6069,1671,1728,78.6,77.8,2.0,,,,,,
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,2024-25,3017,2944,73,2383,2414,561,530,80.9,82.0,2.4,,,,,,
Sydney-Gold Coast,Sydney,Gold Coast,Qantas,2024-25,1264,1252,12,918,979,334,273,73.3,78.2,0.9,,,,,,
Sydney-Gold Coast,Sydney,Gold Coast,Rex Airlines,2024-25,33,27,6,21,20,6,7,77.8,74.1,18.2,,,,,,
Sydney-Gold Coast,Sydney,Gold Coast,Virgin Australia,2024-25,3644,3574,70,2804,2656,770,918,78.5,74.3,1.9,,,,,,
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,2024-25,895,893,2,694,681,199,212,77.7,76.3,0.2,,,,,,
Sydney-Hamilton Island,Sydney,Hamilton Island,Jetstar,2024-25,209,209,0,178,171,31,38,85.2,81.8,0.0,,,,,,
Sydney-Hamilton Island,Sydney,Hamilton Island,Qantas,2024-25,360,358,2,246,257,112,101,68.7,71.8,0.6,,,,,,
Sydney-Hamilton Island,Sydney,Hamilton Island,Virgin Australia,2024-25,326,326,0,270,253,56,73,82.8,77.6,0.0,,,,,,
Sydney-Hobart,Sydney,Hobart,All Airlines,2024-25,2869,2823,46,2163,2214,660,609,76.6,78.4,1.6,,,,,,
Sydney-Hobart,Sydney,Hobart,Jetstar,2024-25,967,963,4,772,773,191,190,80.2,80.3,0.4,,,,,,
Sydney-Hobart,Sydney,Hobart,Qantas,2024-25,393,390,3,271,295,119,95,69.5,75.6,0.8,,,,,,
Sydney-Hobart,Sydney,Hobart,QantasLink,2024-25,627,593,34,356,393,237,200,60.0,66.3,5.4,,,,,,
Sydney-Hobart,Sydney,Hobart,Virgin Australia,2024-25,882,877,5,764,753,113,124,87.1,85.9,0.6,,,,,,
Sydney-Launceston,Sydney,Launceston,All Airlines,2024-25,1212,1199,13,889,930,310,269,74.1,77.6,1.1,,,,,,
Sydney-Launceston,Sydney,Launceston,Jetstar,2024-25,510,506,4,397,414,109,92,78.5,81.8,0.8,,,,,,
Sydney-Launceston,Sydney,Launceston,QantasLink,2024-25,348,339,9,231,237,108,102,68.1,69.9,2.6,,,,,,
Sydney-Launceston,Sydney,Launceston,Virgin Australia,2024-25,354,354,0,261,279,93,75,73.7,78.8,0.0,,,,,,
Sydney-Melbourne,Sydney,Melbourne,All Airlines,2024-25,25065,23915,1150,18282,18260,5633,5655,76.4,76.4,4.6,,,,,,
Sydney-Melbourne,Sydney,Melbourne,Jetstar,2024-25,5455,5290,165,3954,4111,1336,1179,74.7,77.7,3.0,,,,,,
Sydney-Melbourne,Sydney,Melbourne,Qantas,2024-25,10453,9787,666,7411,7381,2376,2406,75.7,75.4,6.4,,,,,,
Sydney-Melbourne,Sydney,Melbourne,Rex Airlines,2024-25,249,204,45,161,154,43,50,78.9,75.5,18.1,,,,,,
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2024-25,8908,8634,274,6756,6614,1878,2020,78.2,76.6,3.1,,,,,,
Sydney-Perth,Sydney,Perth,All Airlines,2024-25,5177,5141,36,3600,3605,1541,1536,70.0,70.1,0.7,,,,,,
Sydney-Perth,Sydney,Perth,Jetstar,2024-25,669,661,8,446,486,215,175,67.5,73.5,1.2,,,,,,
Sydney-Perth,Sydney,Perth,Qantas,2024-25,2386,2365,21,1574,1514,791,851,66.6,64.0,0.9,,,,,,
Sydney-Perth,Sydney,Perth,Virgin Australia,2024-25,2122,2115,7,1580,1605,535,510,74.7,75.9,0.3,,,,,,
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,2024-25,1981,1915,66,1415,1434,500,481,73.9,74.9,3.3,,,,,,
Sydney-Port Macquarie,Sydney,Port Macquarie,QantasLink,2024-25,1255,1217,38,915,940,302,277,75.2,77.2,3.0,,,,,,
Sydney-Port Macquarie,Sydney,Port Macquarie,Rex Airlines,2024-25,726,698,28,500,494,198,204,71.6,70.8,3.9,,,,,,
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,2024-25,2580,2555,25,1959,1939,596,616,76.7,75.9,1.0,,,,,,
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Jetstar,2024-25,1135,1118,17,899,908,219,210,80.4,81.2,1.5,,,,,,
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Qantas,2024-25,684,679,5,449,461,230,218,66.1,67.9,0.7,,,,,,
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Virgin Australia,2024-25,761,758,3,611,570,147,188,80.6,75.2,0.4,,,,,,
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,2024-25,2232,2195,37,1760,1790,435,405,80.2,81.5,1.7,,,,,,
Sydney-Wagga Wagga,Sydney,Wagga Wagga,QantasLink,2024-25,1260,1232,28,1015,1026,217,206,82.4,83.3,2.2,,,,,,
Sydney-Wagga Wagga,Sydney,Wagga Wagga,Rex Airlines,2024-25,972,963,9,745,764,218,199,77.4,79.3,0.9,,,,,,
