Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures 
(%)","OnTime Arrivals 
(%)","Cancellations 

(%)",,,,,,
Townsville-Brisbane,Townsville,Brisbane,All Airlines,2024-25,4420,4325,95,2957,2969,1368,1356,68.4,68.6,2.1,,,,,,
Townsville-Brisbane,Townsville,Brisbane,Jetstar,2024-25,747,732,15,450,445,282,287,61.5,60.8,2.0,,,,,,
Townsville-Brisbane,Townsville,Brisbane,Qantas,2024-25,274,271,3,215,227,56,44,79.3,83.8,1.1,,,,,,
Townsville-Brisbane,Townsville,Brisbane,QantasLink,2024-25,1734,1685,49,1179,1152,506,533,70.0,68.4,2.8,,,,,,
Townsville-Brisbane,Townsville,Brisbane,Virgin Australia,2024-25,1665,1637,28,1113,1145,524,492,68.0,69.9,1.7,,,,,,
Townsville-Cairns,Townsville,Cairns,All Airlines,2024-25,1034,1006,28,882,870,124,136,87.7,86.5,2.7,,,,,,
Townsville-Cairns,Townsville,Cairns,QantasLink,2024-25,940,916,24,805,797,111,119,87.9,87.0,2.6,,,,,,
Townsville-Cairns,Townsville,Cairns,Rex Airlines,2024-25,94,90,4,77,73,13,17,85.6,81.1,4.3,,,,,,
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,2024-25,2231,2181,50,1806,1762,375,419,82.8,80.8,2.2,,,,,,
Wagga Wagga-Sydney,Wagga Wagga,Sydney,QantasLink,2024-25,1260,1222,38,1036,1056,186,166,84.8,86.4,3.0,,,,,,
Wagga Wagga-Sydney,Wagga Wagga,Sydney,Rex Airlines,2024-25,971,959,12,770,706,189,253,80.3,73.6,1.2,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
