Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,1,201001,Newcastle,Gold Coast,Newcastle - Gold Coast,130,198.2773109
2010,2,201002,Adelaide,Brisbane,Adelaide - Brisbane,278,424.0084034
2010,2,201002,Adelaide,Canberra,Adelaide - Canberra,274,417.907563
2010,2,201002,Adelaide,Darwin,Adelaide - Darwin,579,883.0966387
2010,2,201002,Adelaide,Gold Coast,Adelaide - Gold Coast,135.6,206.8184874
2010,2,201002,Adelaide,Melbourne,Adelaide - Melbourne,81.6,124.4571429
2010,2,201002,Adelaide,Perth,Adelaide - Perth,368,561.2773109
2010,2,201002,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,270.9688235
2010,2,201002,Adelaide,Sydney,Adelaide - Sydney,117.6,179.3647059
2010,2,201002,Albury,Sydney,Albury - Sydney,138,210.4789916
2010,2,201002,Alice Springs,Darwin,Alice Springs - Darwin,508,774.8067227
2010,2,201002,Alice Springs,Melbourne,Alice Springs - Melbourne,176,268.4369748
2010,2,201002,Alice Springs,Sydney,Alice Springs - Sydney,538,820.5630252
2010,2,201002,Avalon,Brisbane,Avalon - Brisbane,178,271.487395
2010,2,201002,Avalon,Sydney,Avalon - Sydney,98,149.4705882
2010,2,201002,Ayers Rock,Cairns,Ayers Rock - Cairns,838,1278.12605
2010,2,201002,Ayers Rock,Sydney,Ayers Rock - Sydney,818,1247.621849
2010,2,201002,Ballina,Sydney,Ballina - Sydney,178,271.487395
2010,2,201002,Brisbane,Cairns,Brisbane - Cairns,208,317.2436975
2010,2,201002,Brisbane,Canberra,Brisbane - Canberra,178,271.487395
2010,2,201002,Brisbane,Darwin,Brisbane - Darwin,248,378.2521008
2010,2,201002,Brisbane,Emerald,Brisbane - Emerald,369,562.802521
2010,2,201002,Brisbane,Gladstone,Brisbane - Gladstone,254,387.4033613
2010,2,201002,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,240.9831933
2010,2,201002,Brisbane,Hobart,Brisbane - Hobart,508,774.8067227
2010,2,201002,Brisbane,Mackay,Brisbane - Mackay,178,271.487395
2010,2,201002,Brisbane,Melbourne,Brisbane - Melbourne,238,363
2010,2,201002,Brisbane,Mount Isa,Brisbane - Mount Isa,544,829.7142857
2010,2,201002,Brisbane,Perth,Brisbane - Perth,438,668.0420168
2010,2,201002,Brisbane,Proserpine,Brisbane - Proserpine,158,240.9831933
2010,2,201002,Brisbane,Rockhampton,Brisbane - Rockhampton,87,132.6932773
2010,2,201002,Brisbane,Sydney,Brisbane - Sydney,148,225.7310924
2010,2,201002,Brisbane,Townsville,Brisbane - Townsville,188,286.7394958
2010,2,201002,Brisbane,Newcastle,Brisbane - Newcastle,88,134.2184874
